Gene,Locus,Molecule D23580,Start,End,Strand,Product,Input 1 (for Macrophage) read counts,Input 2 (for MAcropahge) read counts,Macrophage 1 (output) read counts,Macrophage 2 (output) read counts,Log2 fold-change output (MAcrophage) vs. input,p-value
uhpA,STMMW_37791,D23580,4013431,4014021,-,two-component system response regulator protein,1070,607,874,563,-0.0305881700167879,0.961694118473459
STMMW_37801,STMMW_37801,D23580,4014096,4015109,-,hypothetical protein,1932,1038,1511,997,-0.0397240672417998,0.922338101173073
STMMW_37811,STMMW_37811,D23580,4015121,4016437,-,probable permease,3619,2010,2591,1862,-0.13111582570465,0.30494402641019
STMMW_37821,STMMW_37821,D23580,4016468,4017388,-,putative carbohydrate kinase,3806,2089,2618,1841,-0.19587247889986,0.0535453347664645
STMMW_37831,STMMW_37831,D23580,4017713,4018498,+,putative deoR-family transcriptional regulator,691,374,418,319,-0.313669121967306,0.272123399992141
ilvN,STMMW_37841,D23580,4018500,4018790,-,"acetohydroxy acid synthase I, small subunit",182,87,161,101,0.18078502586424,0.863781128460271
ilvB,STMMW_37851,D23580,4018794,4020482,-,"acetohydroxy acid synthase I, small subunit",2783,1744,2378,1686,0.0278009650370144,0.938680186567522
ivbL,STMMW_37852,D23580,4020589,4020687,-,IlvBN operon leader peptide,230,124,158,162,0.103487581241816,0.927091853589756
STMMW_37861,STMMW_37861,D23580,4021210,4021305,+,conserved hypothetical protein,208,121,151,142,0.05923826262115,0.96994659486899
STMMW_37871,STMMW_37871,D23580,4021321,4021410,+,putative LexA-regulated protein TisB,132,62,118,78,0.241601343279615,0.828785584269472
STMMW_37881,STMMW_37881,D23580,4021503,4022363,+,putative membrane protein,1976,1082,1396,1022,-0.127422454606206,0.534195821071307
emrD,STMMW_37891,D23580,4022665,4023750,+,multidrug resistance protein D,2284,1234,1805,1125,-0.0665609916893698,0.826771554628813
STMMW_37901,STMMW_37901,D23580,4023677,4024762,-,hypothetical protein,1790,967,1249,898,-0.148872023007412,0.463038834211872
dsdC,STMMW_37911,D23580,4024826,4025749,-,D-serine deaminase activator,1471,774,1175,830,0.0515497127889463,0.903485879758008
dsdX,STMMW_37921,D23580,4025975,4027312,+,DsdX permease,3343,1801,2413,1916,-0.0258290195948877,0.941912742549848
dsdA,STMMW_37931,D23580,4027330,4028652,+,D-serine dehydratase,3040,1534,2192,1407,-0.133205592857702,0.446361191864953
yidF,STMMW_37941,D23580,4028734,4029264,-,conserved hypothetical protein,1285,718,1042,733,0.029458182836396,0.954045946399255
yidG,STMMW_37951,D23580,4029261,4029623,-,putative membrane protein,1023,561,837,539,-0.00491715681633907,0.99633393380724
yidH,STMMW_37961,D23580,4029613,4029960,-,putative membrane protein,1000,532,827,496,-0.0153599043421707,0.986877397488556
yidE,STMMW_37971,D23580,4030404,4032065,-,putative membrane protein,4621,2422,3570,2483,-0.00456751127904621,0.990976228648781
hslS,STMMW_37981,D23580,4032255,4032683,-,heat shock protein B,1303,753,1061,760,0.0246054537370483,0.96886330639871
hslT,STMMW_37991,D23580,4032793,4033206,-,heat shock protein A,2014,1082,1679,1344,0.189837903369633,0.246220104307746
yidQ,STMMW_38001,D23580,4033513,4033848,+,putative lipoprotein,1101,614,813,593,-0.078850712885442,0.848058414116367
yidR,STMMW_38011,D23580,4033850,4035076,-,putative ATP/GTP-binding protein,5302,2630,4252,2982,0.0920822471767346,0.522802393870359
ccmH1,STMMW_38021,D23580,4035198,4036241,-,cytochrome c-type biogenesis protein H1,3955,2191,3008,2138,-0.0498698503572926,0.811020468089281
ccmG1,STMMW_38022,D23580,4036238,4036795,-,"cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase",2107,1183,1675,1189,0.00379282820765682,0.99633393380724
ccmF1,STMMW_38023,D23580,4036792,4038723,-,cytochrome c heme lyase subunit CcmF,8166,4630,6963,4825,0.08103465608623,0.401675389620712
ccmE1,STMMW_38024,D23580,4038720,4039199,-,"cytochrome c-type biogenesis protein CcmE, heme chaperone",2260,1220,1959,1297,0.107618446075071,0.605529409897054
ccmD1,STMMW_38025,D23580,4039196,4039369,-,"cytochrome c-type biogenesis protein CcmD, interacts with CcmCE",470,254,393,317,0.195392905888027,0.667644550816727
ccmC1,STMMW_38026,D23580,4039405,4040151,-,"cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",2925,1471,2403,1820,0.172311122737667,0.213150636616834
ccmB1,STMMW_38027,D23580,4040194,4040850,-,"ABC transporter involved in cytochrome c biogenesis, CcmB subunit",1837,1154,1628,1185,0.0975930544970747,0.706068028820777
ccmA1,STMMW_38031,D23580,4040850,4041467,-,cytochrome C biogenesis ATP-binding export protein,2138,1340,1881,1383,0.0958669843799303,0.684838559483953
yhjA,STMMW_38041,D23580,4041473,4042873,-,probable cytochrome c peroxidase,8843,5159,5865,4286,-0.264440918900912,0.0000234
torD,STMMW_38051,D23580,4043063,4043695,-,TorD protein,2306,1291,1509,1259,-0.156743526736722,0.408984891836999
torA,STMMW_38061,D23580,4043688,4046240,-,trimethylamine-N-oxide reductase precursor,8655,4696,7075,4679,0.0186328704219398,0.933641838496404
torC,STMMW_38071,D23580,4046230,4047414,-,cytochrome C-type protein,4424,2481,3165,2421,-0.0940881392252684,0.518191900248104
torR,STMMW_38081,D23580,4047544,4048236,+,torCAD operon transcriptional regulatory protein,2499,1268,1902,1476,0.0739506677937915,0.773305503697535
torT,STMMW_38091,D23580,4048209,4049249,-,Solute binding receptor protein,3183,1697,2352,1717,-0.0463667788209833,0.862897475976879
torS,STMMW_38101,D23580,4049329,4052064,+,Two-component sensor protein histidine protein kinase,7982,4253,5934,4377,-0.0295097366186208,0.877827374136382
dgoT,STMMW_38111,D23580,4052090,4053427,-,D-galactonate transporter,4190,2357,3274,2175,-0.0682668304210929,0.707231440521542
dgoD,STMMW_38121,D23580,4053512,4054660,-,galactonate dehydratase (ec 4.1.2.21) (ec 4.2.1.6),4219,2209,3354,2359,0.0451428524171837,0.838113484968804
dgoA,STMMW_38131,D23580,4054657,4055274,-,2-dehydro-3-deoxy-6-phosphogalactonate aldolase (ec 4.1.2.21) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (2-oxo-3-deoxygalactonate 6-phosphate aldolase),2110,1106,1885,1111,0.0943757938757316,0.744557720807602
dgoK,STMMW_38141,D23580,4055258,4056136,-,2-dehydro-3-deoxygalactonokinase (ec 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase),2417,1215,1825,1199,-0.0487432288588079,0.891096053733584
dgoR,STMMW_38151,D23580,4056133,4056822,-,galactonate operon transcriptional repressor,1650,900,1327,854,-0.026516600875792,0.958803268965307
yidA,STMMW_38161,D23580,4057083,4057928,-,conserved hypothetical protein,1866,955,1406,926,-0.0620483289311646,0.862897475976879
STMMW_38171,STMMW_38171,D23580,4058234,4059496,+,putative membrane transport protein,6608,3949,4602,3389,-0.205854156858103,0.009252348649327
STMMW_38181,STMMW_38181,D23580,4059510,4060703,+,possible racemase,1837,950,1305,1029,-0.0266268760240004,0.956055399973953
STMMW_38191,STMMW_38191,D23580,4060818,4061714,+,putative LysR-family transcriptioanl regulator,898,511,722,445,-0.0846495846370848,0.863781128460271
gyrB,STMMW_38201,D23580,4061733,4064147,-,DNA gyrase subunit B,71,76,84,40,-0.201164515677124,0.913190593133334
recF,STMMW_38211,D23580,4064176,4065249,-,recF protein,1710,922,640,416,-1.1144978552106,2.67E-17
dnaN,STMMW_38221,D23580,4065397,4066497,-,DNA polymerase III beta-subunit,38,38,98,56,1.10359032364623,0.135631777634403
dnaA,STMMW_38231,D23580,4066502,4067902,-,chromosomal replication initiator protein,8,11,23,11,0.854601793286187,0.744557720807602
rpmH,STMMW_38241,D23580,4068563,4068703,+,50S ribosomal protein L34,1,0,0,0,-1.16627486276434,NA
rnpA,STMMW_38251,D23580,4068720,4069079,+,"RNase P, protein component",0,1,0,0,-1.60118311312748,NA
STMMW_38261,STMMW_38261,D23580,4069043,4069300,+,conserved hypothetical protein,401,240,282,195,-0.236390782878897,0.630926282503452
yidC,STMMW_38271,D23580,4069303,4070949,+,putative membrane protein,299,282,289,217,-0.0879574339904596,0.933266786932614
thdF,STMMW_38281,D23580,4071091,4072455,+,thiophene and furan oxidation protein,388,211,54,42,-2.42515860799547,2.61E-14
intA,STMMW_38291,D23580,4072711,4073931,+,phage integrase (pseudogene),1910,1038,1459,1024,-0.0392287126287565,0.921303115189954
STMMW_38301,STMMW_38301,D23580,4074256,4075218,+,hypothetical protein,1325,1006,941,892,-0.171396996997358,0.868688836702376
STMMW_38311,STMMW_38311,D23580,4075284,4076153,+,reverse transcriptase,246,166,52,47,-1.86796266855289,0.000000814
yidY,STMMW_38321,D23580,4076955,4078142,+,putative membrane transport protein,2802,1362,2137,1422,-0.00356077217948898,0.99633393380724
yidZ,STMMW_38331,D23580,4078111,4079070,+,putative LysR-family transcriptional regulator,2664,1351,1857,1350,-0.0998281882531217,0.633401747754213
yieE,STMMW_38341,D23580,4079228,4079983,+,conserved hypothetical protein,2524,1343,1684,1253,-0.178756630497966,0.223346239569233
yieF,STMMW_38351,D23580,4079983,4080567,+,conserved hypothetical protein,2284,1392,2098,1500,0.158927891606472,0.305738811923749
yieG,STMMW_38361,D23580,4080612,4082075,-,putative membrane transport protein,6274,3433,5151,3226,-0.0176319675941624,0.953791402027558
yieH,STMMW_38371,D23580,4082118,4082783,+,putative hydrolase,3176,1629,2292,1674,-0.0540132440167771,0.83493803755904
phoU,STMMW_38381,D23580,4082878,4083603,-,phosphate transport system regulatory protein,301,135,113,82,-0.914998522965402,0.0171705620151195
pstB,STMMW_38391,D23580,4083618,4084391,-,phosphate transport ATP-binding protein,1310,718,234,193,-2.02734858755646,1.01E-34
pstA,STMMW_38401,D23580,4084478,4085368,-,phosphate transport system permease protein,2061,1125,896,574,-0.91675395614083,1.66E-14
pstC,STMMW_38411,D23580,4085368,4086327,-,phosphate transport system permease protein,2049,1109,609,433,-1.38904428916485,1.16E-30
pstS,STMMW_38421,D23580,4086463,4087503,-,periplasmic phosphate-binding protein,2717,1515,1134,810,-0.916718862383974,3.67E-20
STMMW_38431,STMMW_38431,D23580,4087670,4089043,-,probable PTS system permease,7624,4206,5940,4559,0.0431257625608733,0.790513529066121
STMMW_38441,STMMW_38441,D23580,4089092,4089910,-,putative shikimate 5-dehydrogenase,3670,1937,2858,1936,-0.0159966534205836,0.969035123826414
STMMW_38451,STMMW_38451,D23580,4090005,4091762,+,conserved hypothetical protein,8089,4400,6024,4318,-0.0616418223231553,0.608159660101952
glmS,STMMW_38461,D23580,4091913,4093742,-,glucosamine--fructose-6-phosphate aminotransferase,98,54,49,41,-0.533055324228546,0.608842033032422
glmU,STMMW_38471,D23580,4093931,4095301,-,UDP-n-acetylglucosamine pyrophosphorylase,85,29,39,24,-0.580694084379335,0.667644550816727
STMMW_38481,STMMW_38481,D23580,4095621,4096319,-,putative membrane protein,2197,1312,1594,1324,-0.057077785043935,0.87165841331205
atpC,STMMW_38491,D23580,4096549,4096968,-,ATP synthase epsilon subunit,25,17,2,1,-3.65667139661077,0.0376589499855335
atpD,STMMW_38501,D23580,4096989,4098371,-,ATP synthase beta subunit,32,34,44,19,-0.0272100931604814,0.996060455150859
atpG,STMMW_38511,D23580,4098398,4099261,-,ATP synthase gamma subunit,37,13,11,9,-1.02439676384092,0.610359204150617
atpA,STMMW_38521,D23580,4099312,4100853,-,ATP synthase alpha subunit,17,33,9,2,-2.29027328994025,0.138779491639137
atpH,STMMW_38531,D23580,4100866,4101399,-,ATP synthase delta subunit,2,2,4,2,0.659233053530937,NA
atpF,STMMW_38541,D23580,4101414,4101884,-,ATP synthase subunit B,16,14,27,10,0.366414499259204,0.916279940090801
atpE,STMMW_38542,D23580,4101944,4102183,-,ATP synthase C chain,10,0,0,3,-0.982412270356236,NA
atpB,STMMW_38551,D23580,4102230,4103045,-,ATP synthase A chain,22,5,8,0,-1.56631991213942,0.650531653142099
atpI,STMMW_38561,D23580,4103054,4103434,-,ATP synthase protein I,155,71,35,18,-1.8771060268705,0.000710327354367676
gidB,STMMW_38571,D23580,4104050,4104673,-,glucose inhibited division protein,1146,655,578,510,-0.504598306729067,0.00580059561848003
gidA,STMMW_38581,D23580,4104776,4106665,-,glucose inhibited division protein,694,369,75,63,-2.71994346600961,1.84E-28
mioC,STMMW_38591,D23580,4107044,4107487,-,MioC protein,854,480,591,490,-0.0839176343403904,0.871248698993895
asnCb,STMMW_38601,D23580,4107577,4108035,-,regulatory protein,1519,793,1093,735,-0.127652265825078,0.629537466548946
asnA,STMMW_38611,D23580,4108186,4109178,+,asparagine synthetase A,3893,2046,3150,2071,0.0217693072156145,0.94843176543354
yieM,STMMW_38621,D23580,4109183,4110583,-,conserved hypothetical protein,5222,2721,4582,3093,0.162354176584159,0.0834197622913229
yieN,STMMW_38631,D23580,4110628,4112124,-,conserved hypothetical protein,7242,3871,6010,4473,0.1334944438297,0.10552352464308
kup,STMMW_38641,D23580,4112472,4114340,+,membrane transport protein,8363,4468,5335,3556,-0.322903672277933,0.000000571
rbsD,STMMW_38651,D23580,4114537,4114956,+,high affinity ribose transport protein RbsD,1786,1007,1409,927,-0.0623863340261713,0.855443896139029
rbsA,STMMW_38661,D23580,4114964,4116469,+,high affinity ribose transport protein,4724,2407,3731,2687,0.0707402041891364,0.673418714606332
rbsC,STMMW_38671,D23580,4116475,4117440,+,high affinity ribose transport protein,3405,1793,2557,2035,0.0486759558921624,0.862897475976879
rbsB,STMMW_38681,D23580,4117465,4118355,+,D-ribose-binding periplasmic protein,2351,1274,1739,1241,-0.0720525222617601,0.769801546331106
rbsK,STMMW_38691,D23580,4118489,4119418,+,ribokinase,2395,1175,1380,808,-0.497435871845404,0.000258727688187189
rbsR,STMMW_38701,D23580,4119422,4120420,+,ribose operon repressor,3672,2306,1946,1421,-0.642802086511498,4.99E-12
yieO,STMMW_38711,D23580,4120386,4121813,-,putative transmembrane efflux protein,4751,2606,3464,2365,-0.131883311233255,0.226969855332119
yieP,STMMW_38721,D23580,4121825,4122529,-,hypothetical 20.8 kDa protein in rbsr-rrsc intergenic region,1904,996,1551,1118,0.0980035469532931,0.686740794842352
yifA,STMMW_38731,D23580,4128421,4129269,-,possible LysR-family transcriptional regulatory protein,673,348,281,148,-1.05989734311959,0.00000747
yifE,STMMW_38741,D23580,4129376,4129714,+,conserved hypothetical protein,472,196,186,114,-0.911087276255151,0.00347101342666907
comM,STMMW_38751,D23580,4129739,4131259,-,Putative competence protein (chelatase),3160,1618,2342,1714,-0.0130000280028181,0.978364845122825
STMMW_38752,STMMW_38752,D23580,4131611,4131709,+,hypothetical protein,267,176,269,131,-0.010765224509701,0.99633393380724
ilvG,STMMW_38761,D23580,4131849,4133495,+,acetolactate synthase large subunit,6730,3658,5192,3661,-0.021769260140562,0.92328086071128
ilvM,STMMW_38771,D23580,4133495,4133755,+,"acetohydroxy acid synthase II, small subunit",1125,570,942,600,0.0742923597241694,0.869868680221559
ilvE,STMMW_38781,D23580,4133773,4134702,+,branched-chain amino-acid aminotransferase,5653,3046,2376,1677,-0.891131967691162,5.54E-36
ilvD,STMMW_38791,D23580,4134863,4136713,+,dihydroxyacid dehydratase,12344,6622,2150,1519,-2.15805302090206,3.67E-301
ilvA,STMMW_38801,D23580,4136716,4138260,+,threonine deaminase,8995,4692,4810,3267,-0.548085379663836,5.25E-19
STMMW_38811,STMMW_38811,D23580,4138544,4138861,+,conserved hypothetical protein,877,520,594,480,-0.172171786414606,0.611251610505529
STMMW_38821,STMMW_38821,D23580,4138858,4139199,+,conserved hypothetical protein,1170,633,839,675,-0.0288375625775147,0.965373752642029
ilvY,STMMW_38831,D23580,4139202,4140089,-,LysR-family regulatory protein for ilvC expression,3818,2100,2996,2334,0.0662978883098119,0.743488743476862
ilvC,STMMW_38841,D23580,4140253,4141728,+,ketol-acid reductoisomerase,7941,4106,1416,1069,-2.05269869588473,4.44E-171
ppiC,STMMW_38851,D23580,4141820,4142101,-,peptidyl-prolyl cis-trans isomerase C,808,491,705,487,0.0631625558012514,0.911554368173351
STMMW_38861,STMMW_38861,D23580,4142106,4142411,+,,1766,927,1246,914,-0.0991940842884453,0.713790696184255
STMMW_38871,STMMW_38871,D23580,4142429,4142539,+,,597,334,461,335,-0.0191710385508274,0.986601471186833
rep,STMMW_38881,D23580,4142639,4144663,+,ATP-dependent DNA helicase,145,81,57,29,-1.21851115506599,0.0297552957784834
gppA,STMMW_38891,D23580,4144703,4146184,-,"guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (guanosine pentaphosphatase)",3043,1584,1295,933,-0.835383670267679,8.92E-18
rhlB,STMMW_38901,D23580,4146303,4147568,-,putative ATP-dependent RNA helicase,2867,1434,1463,997,-0.585318058386207,0.0000000275
trxA,STMMW_38911,D23580,4147712,4148041,+,thioredoxin,663,352,57,55,-2.94531903179659,4.99E-29
rho,STMMW_38921,D23580,4148460,4149719,+,transcription termination factor,36,30,15,15,-0.974852935308524,0.515380501516037
rfe,STMMW_38931,D23580,4149949,4151052,+,putative undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase,4138,2292,2159,1478,-0.619404580992121,1.9E-14
wzzE,STMMW_38941,D23580,4151064,4152110,+,lipopolysaccharide biosynthesis protein,4680,2596,3278,2519,-0.113623378766453,0.367544117502923
rffE,STMMW_38951,D23580,4152166,4153296,+,UDP-N-acetyl-D-glucosamine 2-epimerase,3286,1762,1741,1194,-0.573643531864793,4.17E-10
rffD,STMMW_38961,D23580,4153293,4154555,+,UDP-ManNAc dehydrogenase,2481,1430,1531,1170,-0.327585101014546,0.00456294269152877
rffG,STMMW_38971,D23580,4154555,4155622,+,UDP-N-acetylglucosamine epimerase (UDP-GlcNAc-2-epimerase),3541,1818,2629,1766,-0.0719702323434012,0.734241208002724
rffH,STMMW_38981,D23580,4155655,4155879,+,glucose-1-phosphate thymidylyltransferase,700,344,516,355,-0.0375157299182911,0.964611717192842
rffC,STMMW_38991,D23580,4155986,4156534,+,lipopolysaccharide biosynthesis protein,708,367,307,147,-1.0623287397375,0.000014
rffA,STMMW_39001,D23580,4156539,4157669,+,lipopolysaccharide biosynthesis protein,1725,835,699,399,-1.01125256278936,3.41E-11
wzxE,STMMW_39011,D23580,4157671,4158921,+,putative lipopolysaccharide biosynthesis protein,1186,654,345,244,-1.43664047660735,1.79E-19
STMMW_39021,STMMW_39021,D23580,4158918,4159997,+,conserved hypothetical protein,1588,818,658,495,-0.83635085523318,9.74E-10
rffT,STMMW_39031,D23580,4159994,4161352,+,probable 4-alpha-l-fucosyltransferase,197,83,131,96,-0.0465972812867698,0.979418192004189
rffM,STMMW_39041,D23580,4161349,4162089,+,probable UDP-N-acetyl-D-mannosaminuronic acid transferase,1846,1017,1057,757,-0.45029882646741,0.000323970007176344
yifK,STMMW_39051,D23580,4162296,4163681,+,probable amino acid permease,3187,1610,2067,1409,-0.246048524801986,0.0338743549891957
hemY,STMMW_39061,D23580,4164798,4165937,-,porphyrin biosynthetic protein,2549,1307,1765,1372,-0.0682440655099022,0.802331314219641
hemX,STMMW_39071,D23580,4165997,4167166,-,uroporphyrinogen III methylase,1921,989,1168,871,-0.288973938632349,0.0468862628283973
hemD,STMMW_39081,D23580,4167188,4167928,-,uroporphyrinogen III synthase,95,46,65,30,-0.380673537923825,0.774033818753421
hemC,STMMW_39091,D23580,4167925,4168881,-,porphobilinogen deaminase,40,49,33,17,-0.803713250620029,0.552334602291935
cyaA,STMMW_39101,D23580,4169243,4171789,+,adenylate cyclase,1013,510,533,424,-0.435723638901819,0.0293061090339964
STMMW_39111,STMMW_39111,D23580,4171897,4172250,+,putative inner membrane protein,1979,1478,1526,1194,-0.187252193372755,0.437740818263715
STMMW_39121,STMMW_39121,D23580,4172436,4172978,+,putative inner membrane protein,1019,642,439,417,-0.744764019750042,0.000128878288690167
STMMW_39131,STMMW_39131,D23580,4172990,4173352,+,conserved hypothetical protein,3397,2130,2565,1927,-0.110025609036316,0.527900653224593
cyaY,STMMW_39141,D23580,4173423,4173743,-,CyaY protein,809,415,558,365,-0.195604885420917,0.567237872260676
STMMW_39151,STMMW_39151,D23580,4173813,4174202,-,putative membrane protein,1054,545,832,444,-0.136213748918406,0.747722806407174
STMMW_39161,STMMW_39161,D23580,4174190,4174712,-,possible exported protein (pseudogene),1707,913,1269,816,-0.12706425650469,0.611251610505529
yifL,STMMW_39171,D23580,4174898,4175101,+,putative lipoprotein,447,231,258,159,-0.496308972095131,0.138617288474906
dapF,STMMW_39181,D23580,4175135,4175962,+,diaminopimelate epimerase,52,34,35,5,-1.05211349233042,0.479598171859629
yigA,STMMW_39191,D23580,4175959,4176666,+,conserved hypothetical protein,2674,1508,1773,1258,-0.261428840447435,0.0211535660355657
xerC,STMMW_39201,D23580,4176663,4177565,+,integrase/recombinase,718,346,49,46,-3.23588314323387,4.16E-33
yigB,STMMW_39211,D23580,4177565,4178281,+,conserved hypothetical protein,1695,920,1277,806,-0.130204621597326,0.607580890770247
uvrD,STMMW_39221,D23580,4178417,4180579,+,DNA helicase II,6035,3162,2702,1922,-0.77538159152934,4.08E-28
corA,STMMW_39231,D23580,4181051,4182001,+,magnesium and cobalt transport protein,1062,589,316,225,-1.40338064075767,6.09E-17
yigF,STMMW_39241,D23580,4182050,4182430,-,putative membrane protein,1053,744,775,606,-0.209108930082483,0.468544863480023
yigG,STMMW_39251,D23580,4182446,4182904,-,putative membrane protein,626,702,441,469,-0.437484170297406,0.774907282816799
rarD,STMMW_39261,D23580,4182939,4183823,-,chloramphenicol-sensitive protein RarD,2444,1577,1924,1514,-0.0373026578077516,0.924479175495423
yigI,STMMW_39271,D23580,4183867,4184352,-,conserved hypothetical protein,1100,548,756,554,-0.103139189271442,0.785437811143716
pldA,STMMW_39281,D23580,4184622,4185368,+,detergent-resistant phospholipase A,2992,1598,2215,1492,-0.100874209270838,0.582204907524009
recQ,STMMW_39291,D23580,4185434,4187281,+,ATP-dependent DNA helicase,6584,3371,4555,3231,-0.13405487091294,0.166957506532316
rhtC,STMMW_39301,D23580,4187345,4187965,+,threonine efflux protein,1897,1027,1386,1033,-0.0583507181854246,0.863781128460271
rhtB,STMMW_39311,D23580,4188005,4188625,-,homoserine/homoserine lactone efflux protein,2051,1108,1475,1043,-0.116949977903879,0.584112691771422
pldB,STMMW_39321,D23580,4188736,4189752,+,lysophospholipase L2,3585,1938,2451,1812,-0.158890112851978,0.188024293223374
yigL,STMMW_39331,D23580,4189768,4190568,+,conserved hypothetical protein,3482,1920,2733,2031,0.0304169673602054,0.917855814528507
yigM,STMMW_39341,D23580,4190649,4191548,+,putative membrane protein,3987,2101,2892,2054,-0.084554493216599,0.610038429013165
metR,STMMW_39351,D23580,4191436,4192389,-,trans-activator of metE and metH,3461,1936,2486,1735,-0.151819475675465,0.216506384352412
metE,STMMW_39361,D23580,4192638,4194902,+,5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase,11059,5939,6816,4819,-0.335406352048823,3.5E-10
STMMW_39371,STMMW_39371,D23580,4195246,4196589,+,putative regulatory protein,6200,3392,4485,3231,-0.104025884411494,0.305395317557987
dlhH,STMMW_39381,D23580,4196669,4197481,-,putative hydrolase,2724,1341,2099,1413,0.0108125859085868,0.985728805285676
udp,STMMW_39391,D23580,4197740,4198501,+,uridine phosphorylase,2197,1171,1781,1330,0.103654193319775,0.625813648273862
yigN,STMMW_39401,D23580,4198641,4200071,+,putative membrane protein,4790,2552,3552,2339,-0.11219479571227,0.385034643459913
ubiE,STMMW_39411,D23580,4200167,4200922,+,ubiquinone/menaquinone biosynthesis methyltransferase UbiE,46,46,37,36,-0.203057309813484,0.92689735262143
yigP,STMMW_39421,D23580,4200932,4201537,+,conserved hypothetical protein,68,31,23,5,-1.66859663308555,0.123563518105189
aarF,STMMW_39431,D23580,4201534,4203174,+,ubiquinone biosynthesis protein,12,23,16,5,-0.826701154148507,0.756691093860875
tatA,STMMW_39441,D23580,4203380,4203634,+,Sec-independent protein translocase protein,946,463,824,620,0.268944738331971,0.238178385982174
tatB,STMMW_39451,D23580,4203638,4204186,+,Sec-independent protein translocase protein,2288,1210,2306,1483,0.319303569046303,0.00503390005907641
tatC,STMMW_39461,D23580,4204189,4204968,+,Sec-independent protein translocase protein,2874,1587,3028,2309,0.473008828340521,0.0000000295
tatD,STMMW_39471,D23580,4205010,4205792,+,putative deoxyribonuclease,3123,1651,2406,1661,-0.0196065740948435,0.958088782529448
rfaH,STMMW_39481,D23580,4205800,4206288,-,transcriptional activator,902,3901,6933,5279,1.19738065911754,0.698383080647826
yigC,STMMW_39491,D23580,4206474,4207952,+,conserved hypothetical protein,75,53,41,26,-0.7826815451757,0.413832313183476
fre,STMMW_39501,D23580,4208038,4208739,+,flavin reductase,1690,1019,292,213,-2.23105995814631,7.06E-54
STMMW_39511,STMMW_39511,D23580,4208993,4210816,+,possible transferase,8472,5194,5789,4456,-0.220178870849383,0.00563813889824347
fadA,STMMW_39521,D23580,4211013,4212176,-,small (beta) subunit of the fatty acid-oxidizing multienzyme complex,4410,2895,3698,2810,0.0144105555623236,0.975588639047591
fadB,STMMW_39531,D23580,4212186,4214375,-,large (alpha) subunit of the fatty acid-oxidizing multienzyme complex,6639,3573,5301,3782,0.0428729588534068,0.786905540865214
pepQ,STMMW_39541,D23580,4214565,4215896,+,proline dipeptidase,3389,1933,2692,1931,-0.00105412780317143,0.997777079676633
yigZ,STMMW_39551,D23580,4215896,4216510,+,conserved hypothetical protein,1956,1083,1306,1002,-0.182805723378868,0.293548427562755
trkH,STMMW_39561,D23580,4216549,4218000,+,Trk system potassium uptake protein,814,438,144,81,-2.28221735704247,2.49E-25
hemG,STMMW_39571,D23580,4218012,4218557,+,protoporphyrinogen oxidase,14,19,12,8,-0.684871996635378,0.811020468089281
mobB,STMMW_39581,D23580,4224453,4224968,-,molybdopterin-guanine dinucleotide biosynthesis protein B,657,336,448,332,-0.123879476331178,0.804095605189513
mobA,STMMW_39591,D23580,4224965,4225549,-,molybdopterin-guanine dinucleotide biosynthesis protein A,633,352,433,336,-0.142698384034764,0.755802329880438
yihD,STMMW_39601,D23580,4225619,4225888,+,conserved hypothetical protein,202,111,141,114,-0.0750250493207485,0.954045946399255
rodA,STMMW_39611,D23580,4225965,4226951,+,conserved hypothetical protein,1318,726,1069,670,-0.0385559075812836,0.939882512403914
dsbA,STMMW_39621,D23580,4226968,4227591,+,thiol:disulfide interchange protein,896,492,56,47,-3.53542382580495,3.15E-50
yihG,STMMW_39631,D23580,4227604,4228512,-,putative acyltransferase,1670,897,1202,842,-0.118386645684953,0.632997000151594
polA,STMMW_39641,D23580,4228900,4231686,+,DNA polymerase I,82,66,94,70,0.293615015782525,0.804095605189513
engB,STMMW_39651,D23580,4232021,4232620,-,ATP/GTP-binding protein,105,165,99,97,-0.419272551881113,0.69642701643929
STMMW_39661,STMMW_39661,D23580,4232893,4233117,+,hypothetical protein,430,234,370,290,0.210663404390182,0.646955481944113
yihI,STMMW_39671,D23580,4233236,4233739,+,conserved hypothetical protein,899,538,749,512,0.000309374393891286,0.999604006776961
hemN,STMMW_39681,D23580,4233928,4235301,+,oxygen-independent coproporphyrinogen III oxidase,2359,1265,1622,1100,-0.205514486883744,0.149842375926695
yshB,STMMW_39682,D23580,4235391,4235501,-,hypothetical protein,198,125,300,164,0.679477031515041,0.068276250203869
glnG,STMMW_39691,D23580,4235614,4237023,-,"two-component system, response regulator",454,229,109,54,-1.87288649992051,4.56E-10
glnL,STMMW_39701,D23580,4237032,4238081,-,Two-component system sensory histidine kinase,225,125,74,27,-1.64300236779285,0.000291469634361025
glnA,STMMW_39711,D23580,4238356,4239765,-,glutamine synthetase,101,56,54,34,-0.640431207824905,0.480013762416773
