"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"SL1344_3820","phoU","Part of the phosphate (Pho) regulon, which plays a key role in phosphate homeostasis. PhoU is essential for the repression of the Pho regulon at high phosphate conditions","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.000850065389658265,-2.18428564860023,-1.86060461731012
"SL1344_3821","pstB","Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",1.93e-07,-2.94752899638414,-2.5107458192761
"SL1344_3822","pstA","Binding-protein-dependent transport system inner membrane component","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.808995234283676,-0.259413887798916,-0.220972324632698
"SL1344_3823","pstC","probably responsible for the translocation of the substrate across the membrane","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.199670720221968,-1.84843801304935,-1.57452497300211
"SL1344_3824","pstS","Part of the ABC transporter complex PstSACB involved in phosphate import","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.00108376297191967,-2.12483002003753,-1.80995949353718
"SL1344_3825","SL1344_3825","Phosphotransferase system, EIIC","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0510888327852733,-0.0435181718261894
"SL1344_3826","SL1344_3826","Shikimate dehydrogenase substrate binding domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0925106818604861,-0.0788018737065973
"SL1344_3827","SL1344_3827","Sugar transport-related sRNA regulator N-term","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.46700368123782,-0.696833029580747,-0.593571977714089
"SL1344_3830","SL1344_3830","Inhibitor of apoptosis-promoting Bax1","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.308743507574757,-0.935477874531098,-0.796852945428375
"SL1344_3839","atpI","Produces ATP from ADP in the presence of a proton gradient across the membrane. Subunit I associates with the membrane and may be involved with cation translocation","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",2.58e-16,-4.36840833459647,-3.72107042082837
"SL1344_3840","gidB","Specifically methylates the N7 position of guanine in position 527 of 16S rRNA","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.999204941602324,-0.298299548861305,-0.254095666612353
"SL1344_3841","gidA","NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34","Chromosome","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Phox-liver",1.44e-16,-4.57297981610429,-3.89532722799429
"SL1344_3842","mioC","Flavodoxin","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.248146093299222,0.211374261995393
"SL1344_3843","asnCb","AsnC-type helix-turn-helix domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.0791849511371852,0.0674508326334236
"SL1344_3844","asnA","Aspartate-ammonia ligase","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.203266081618702,-0.173144849550541
"SL1344_3845","yieM","von Willebrand factor (vWF) type A domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.269301631841865,-1.10184714141929,-0.938568579713222
"SL1344_3846","yieN","Functions as an ATPase. May play a role in metal insertion (metal-chelatase) or as a chaperone","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.685148826288827,-0.416952560830512,-0.355165937375307
"SL1344_3847","kup","Responsible for the low-affinity transport of potassium into the cell, with the","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.0754280709876376,-1.37837424883394,-1.17411818065339
"SL1344_3848","rbsD","Catalyzes the interconversion of beta-pyran and beta- furan forms of D-ribose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.782240412024683,-0.280373307030652,-0.238825846777889
"SL1344_3849","rbsA","Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0665446529034854,-0.0566836524008975
"SL1344_3850","rbsC","Branched-chain amino acid transport system / permease component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.228656246731682,0.194772542097874
"SL1344_3852","rbsK","Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.603056799896327,0.840094812866867,0.715604339020429
"SL1344_3853","rbsR","helix_turn _helix lactose operon repressor","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.953661431896104,0.0690041955508947,0.0587787247231341
"SL1344_3854","yieO","Major Facilitator Superfamily","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.543332300033249,0.579486716055998,0.49361477069385
"SL1344_3857","yieP","FCD","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.898720624663262,-0.157654735797598,-0.134292476606161
"SL1344_3858","yifA","Negatively regulates the transcription of the flagellar master operon flhDC by binding to the upstream region of the operon","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.516347584735942,-0.43983198850951
"SL1344_3859","yifE","Protein of unknown function, DUF","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.748478434568618,-0.844950252743797,-0.719740269620842
"SL1344_3860","comM","Magnesium chelatase, subunit ChlI C-terminal","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.918706763795784,0.122799748899698,0.104602518426892
"SL1344_3861","ilvG","Thiamine pyrophosphate enzyme, central domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.692487808718819,0.38293963975112,0.326193262464827
"SL1344_3862","ilvM","ACT domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.227555453138305,-0.193834870944902
"SL1344_3863","ilvE","Acts on leucine, isoleucine and valine","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.466678479511606,-0.727351550657325,-0.619568074545539
"SL1344_3864","ilvD","Dehydratase family","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.271929037892928,-0.231632901955161
"SL1344_3865","ilvA","Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0607692415593492,0.0517640774265111
"SL1344_3866","SL1344_3866","Phage derived protein Gp49-like (DUF891)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.298350593905873,-0.254139147484772
"SL1344_3869","ilvC","Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.536510593710364,-0.587284211572325,-0.500256784832629
"SL1344_3870A","SL1344_3870A","cyclic nucleotide binding","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.576754740195507,-0.522919768424926,-0.445430265147628
"SL1344_3873","gppA","Catalyzes the conversion of pppGpp to ppGpp. Guanosine pentaphosphate (pppGpp) is a cytoplasmic signaling molecule which together with ppGpp controls the stringent response , an adaptive process that allows bacteria to respond to amino acid starvation, resulting in the coordinated regulation of numerous cellular activities","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.306274061721441,-1.15695233529528,-0.985507943266309
"SL1344_3874","rhlB","DEAD-box RNA helicase involved in RNA degradation. Has RNA-dependent ATPase activity and unwinds double-stranded RNA","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.315985143865719,-0.269160500163852
"SL1344_3875","trxA","Thioredoxin","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",3.24e-28,-6.08031567587076,-5.1792966860713
"SL1344_3877","rfe","Catalyzes the transfer of the GlcNAc-1-phosphate moiety from UDP-GlcNAc onto the carrier lipid undecaprenyl phosphate (C55-P), yielding GlcNAc-pyrophosphoryl-undecaprenyl (GlcNAc-PP- C55)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",3.4e-05,-2.53681812812961,-2.16089664165433
"SL1344_3878","wzzE","Modulates the polysaccharide chain length of enterobacterial common antigen (ECA)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.398323574381079,-0.339297509989981
"SL1344_3879","rffE","Catalyzes the reversible epimerization at C-2 of UDP-N- acetylglucosamine (UDP-GlcNAc) and thereby provides bacteria with UDP-N-acetylmannosamine (UDP-ManNAc), the activated donor of ManNAc residues","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",1.57e-06,-2.88236247150922,-2.45523607532204
"SL1344_3880","rffD","Catalyzes the four-electron oxidation of UDP-N-acetyl-D- mannosamine (UDP-ManNAc), reducing NAD( ) and releasing UDP-N- acetylmannosaminuronic acid (UDP-ManNAcA)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",1.78e-05,-2.61963292376077,-2.23143942585092
"SL1344_3881","rffG","Polysaccharide biosynthesis protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0965625693541916,-0.0822533273131533
"SL1344_3883","rffC","Catalyzes the acetylation of dTDP-fucosamine (dTDP-4- amino-4,6-dideoxy-D-galactose) to dTDP-Fuc4NAc, which is utilized in the biosynthesis of the enterobacterial common antigen (ECA)","Chromosome","K","Transcription","Information storage and processing","Phox-liver",5.12e-05,-2.75374972803109,-2.34568196800385
"SL1344_3884","rffA","Catalyzes the synthesis of dTDP-4-amino-4,6-dideoxy-D- galactose (dTDP-Fuc4N) from dTDP-4-keto-6-deoxy-D-glucose (dTDP-D- Glc4O) and L-glutamate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",6.5e-11,-3.72843677111936,-3.17593382355422
"SL1344_3885","wzxE","Mediates the transbilayer movement of Und-PP-GlcNAc- ManNAcA-Fuc4NAc (lipid III) from the inner to the outer leaflet of the cytoplasmic membrane during the assembly of enterobacterial common antigen (ECA)","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",9.68e-08,-3.79092339943229,-3.22916079468489
"SL1344_3889","yifK","Amino acid permease","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.852625974939323,-0.214687443555106,-0.182873723046763
"SL1344_3890","hemY","HemY protein N-terminus","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.179387187067961,0.152804478095076
"SL1344_3891","hemX","HemX, putative uroporphyrinogen-III C-methyltransferase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.430168319408857,-1.11338435765454,-0.948396139497799
"SL1344_3894","cyaA","Adenylate cyclase, class-I","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",3.42e-13,-3.9685375492652,-3.38045497522876
"SL1344_3895","SL1344_3895","-","Chromosome","-","no category","no theme","Phox-liver",0.374506361282995,0.901380100389846,0.767807991510435
"SL1344_3896","SL1344_3896","-","Chromosome","-","no category","no theme","Phox-liver",0.29962176150964,-0.99444269140639,-0.847079989042071
"SL1344_3897","SL1344_3897","conserved hypothetical protein","Chromosome",NA,"no category","no theme","Phox-liver",0.749870148478593,0.368406598432486,0.313813817588495
"SL1344_3898","cyaY","Frataxin-like domain","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.167387114263288,-1.22244521988872,-1.0412956849262
"SL1344_3899A","SL1344_3899A","hypothetical exported protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,0.0401117418145888,0.0341677344611052
"SL1344_3902","yigA","Protein of unknown function, DUF484","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.572744014088407,-0.968334435733922,-0.824840617060097
"SL1344_3904","yigB","HAD-hyrolase-like","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.0801651628884952,-0.0682857905115738
"SL1344_3905","uvrD","UvrD-like helicase C-terminal domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",2.52e-05,-2.4779781231903,-2.11077591456774
"SL1344_3906","corA","Mediates influx of magnesium ions","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.387253792459789,-0.877172013123337,-0.747187209163045
"SL1344_3907","yigF","Protein of unknown function (DUF2628)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.504176588740681,0.67438172014551,0.574447642933686
"SL1344_3908","yigG","-","Chromosome","-","no category","no theme","Phox-liver",0.980171839425484,0.0356831405126061,0.0303953908411326
"SL1344_3909","rarD","EamA-like transporter family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.490060063354083,0.417439915525801
"SL1344_3910","yigI","Thioesterase superfamily","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.893827917505501,-0.145997982268745,-0.124363093307539
"SL1344_3911","pldA","Phospholipase A1","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0623641535030669,-0.0531226453997915
"SL1344_3912","recQ","RecQ zinc-binding","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.617001969843105,0.526923927435728,0.448841062974696
"SL1344_3915","pldB","alpha/beta hydrolase fold","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0245700890929856,-0.0209291404919618
"SL1344_3917","yigM","EamA-like transporter family","Chromosome","EG","Amino acid transport and metabolism;Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.121046806410313,-0.10310933785698
"SL1344_3918","metR","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.191871997900106,0.163439212016172
"SL1344_3919","metE","Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.115810262103776,-0.0986487772513943
"SL1344_3920","SL1344_3920","Iron-sulfur cluster-binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.152297384134497,1.1040062324292,0.940407723190086
"SL1344_3921","dlhH","BAAT / Acyl-CoA thioester hydrolase C terminal","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.735974521049775,0.336291075099057,0.286457372226231
"SL1344_3922","udp","Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1- phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.556141113172242,-0.61508523103945,-0.523938076343018
"SL1344_3923","yigN","RmuC family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.543600456472507,0.600963149441143,0.511908692619932
"SL1344_3928","tatB","Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.53808720976312,-0.999840749014781,-0.851678128904005
"SL1344_3929","tatC","Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.0618878784241352,-1.42039513008203,-1.20991214639397
"SL1344_3930","tatD","3'-5' exonuclease that prefers single-stranded DNA and RNA. May play a role in the H(2)O(2)-induced DNA damage repair","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.999204941602324,0.0876447701488102,0.074657023053035
"SL1344_3931","rfaH","Enhances distal genes transcription elongation in a specialized subset of operons that encode extracytoplasmic components. RfaH is recruited into a multi-component RNA polymerase complex by the ops element, which is a short conserved DNA sequence located downstream of the main promoter of these operons. Once bound, RfaH suppresses pausing and inhibits Rho- dependent and intrinsic termination at a subset of sites. Termination signals are bypassed, which allows complete synthesis of long RNA chains","Chromosome","K","Transcription","Information storage and processing","Phox-liver",3.3e-09,-4.20245065755498,-3.5797053844471
"SL1344_3933","fre","Oxidoreductase FAD-binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",7.7e-08,-3.47446114456572,-2.9595938847954
"SL1344_3934","SL1344_3934","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.304858154069103,-1.01691663113027,-0.86622360061421
"SL1344_3935","fadA","Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.557142609151888,0.593429400758153,0.505491341668509
"SL1344_3936","fadB","Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.467043137396151,-0.649063581523879,-0.552881303544288
"SL1344_3937","pepQ","Splits dipeptides with a prolyl residue in the C- terminal position","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.19310278405747,-0.164487612626587
"SL1344_3938","yigZ","Domain of unknown function (DUF1949)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.98293829649234,0.0333099662509634,0.0283738883001423
"SL1344_3939","trkH","Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",5.71e-09,-3.59781652559428,-3.06466969832687
"SL1344_3941","mobB","Molybdopterin guanine dinucleotide synthesis protein B","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.11412899649805,-0.0972166520387678
"SL1344_3942","mobA","Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.398967116415681,-0.339845687963764
"SL1344_3944","rodA","A protein kinase that phosphorylates Ser and Thr residues. Probably acts to suppress the effects of stress linked to accumulation of reactive oxygen species. Probably involved in the extracytoplasmic stress response","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0781480723981954,0.0665676050342351
"SL1344_3945","dsbA","DSBA-like thioredoxin domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",8.3e-13,-4.20522795365694,-3.58207112354091
"SL1344_3946","yihG","Phosphate acyltransferases","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.788196461202155,0.29430501678327,0.250693069139285
"SL1344_3950","yihI","A GTPase-activating protein (GAP) that modifies Der EngA GTPase function. May play a role in ribosome biogenesis","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.408348632252054,-0.347836992440681
"SL1344_3951","hemN","HemN C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.2228659249299,-1.09051783583454,-0.928918121085976
"SL1344_3952","glnG","Bacterial regulatory protein, Fis family","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.529370785322168,0.62526082445352,0.53260578704387
"SL1344_3953","glnL","PAS fold","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.46372657035643,-0.808295025245492,-0.688516841688875
"SL1344_3955","typA","Elongation factor G C-terminus","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.000586594141038845,-2.21832699241359,-1.88960150309709
"SL1344_3956","SL1344_3956","Sucrose-6F-phosphate phosphohydrolase","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.290272381344845,0.922712641570469,0.785979344073714
"SL1344_3958","SL1344_3958","Elongator protein 3, MiaB family, Radical SAM","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.406529731684031,0.776262754161882,0.661231311740313
"SL1344_3959","SL1344_3959","Type I phosphodiesterase / nucleotide pyrophosphatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.3835582349857,0.773693329396235,0.659042640315467
"SL1344_3960","SL1344_3960","ligase activity","Chromosome","HJ","Coenzyme transport and metabolism; Translation, ribosomal structure and biogenesis","Metabolism;Information storage and processing","Phox-liver",0.616537903452396,0.50443938838166,0.429688422747032
"SL1344_3961","SL1344_3961","WGR domain protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.955884133083973,0.0633112986290928,0.0539294366708306
"SL1344_3962","ompL","Oligogalacturonate-specific porin protein (KdgM)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.13252208693369,-1.26099271828673,-1.07413097528809
"SL1344_3963","yihO","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.402533922514735,0.804566135536256,0.685340522046391
"SL1344_3964","yihP","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.713691819246674,-0.363626594185584,-0.309742144097325
"SL1344_3965","yihQ","Glycosyl hydrolases family 31","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.436119621110167,-0.764851834869423,-0.651511333432115
"SL1344_3966","yihR","Aldose 1-epimerase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.119312941123887,0.101632407511452
"SL1344_3967","yihS","Catalyzes the isomerization of sulfoquinovose (SQ) to 6- deoxy-6-sulfo-D-fructose (SF)","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.661498099200118,-0.435439935953736,-0.37091373828141
"SL1344_3969","yihU","Reduces 3-sulfolactaldehyde (SLA) to 2,3- dihydroxypropane 1-sulfonate (DHPS)","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.979650771482999,0.607220730322457,0.517238986250908
"SL1344_3970","yihV","Phosphorylates 6-deoxy-6-sulfo-D-fructose (SF) to 6- deoxy-6-sulfo-D-fructose 1-phosphate (SFP)","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0711029206173483,0.0605664476574539
"SL1344_3971","yihW","MarR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.210915906665824,-1.14500104685382,-0.975327671070118
"SL1344_3973","rbn","Virulence factor BrkB","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.393544308052209,0.33522646506756
"SL1344_3974","yihZ","rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.999204941602324,-0.241671355976765,-0.2058589915152
"SL1344_3975","yiiD","Putative thioesterase (yiiD_Cterm)","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.437779713837192,-0.372906793327223
"SL1344_3976","SL1344_3976","Helix-turn-helix XRE-family like proteins","Chromosome","K","Transcription","Information storage and processing","Phox-liver",2.16e-32,-5.99837160459565,-5.10949559688071
"SL1344_3977","SL1344_3977","HigB_toxin, RelE-like toxic component of a toxin-antitoxin system","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.982721814113046,-0.634242997879501,-0.540256926152241
"SL1344_3978","SL1344_3978","Pfam:DUF2424","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.73467944861407,-0.329503065295086,-0.280675251929049
"SL1344_3979","SL1344_3979","Cytotoxic translational repressor of toxin-antitoxin stability system","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.296057398450136,0.252185771992847
"SL1344_3980","SL1344_3980","transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.367241753740102,-0.312821586826695
"SL1344_3981","fdhE","Necessary for formate dehydrogenase activity","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,0.129119962047325,0.109986163085454
"SL1344_3982","fdoI","Prokaryotic cytochrome b561","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.319670245694552,0.272299520686364
"SL1344_3983","fdoH","Formate dehydrogenase N, transmembrane","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.122717906470194,0.104532803917563
"SL1344_3984","fdoG","Molybdopterin oxidoreductase Fe4S4 domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.542560879282001,0.462160834051559
"SL1344_3986","fdhD","Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.793409139520285,-0.796057116434851,-0.678092422312274
"SL1344_3987","SL1344_3987","Protein of unknown function (DUF3829)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.179881534672335,-1.1089606877857,-0.944627996540538
"SL1344_3988","yiiG","Protein of unknown function (DUF3829)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.555197011855322,-0.553532784949858,-0.471506854504235
"SL1344_3989","SL1344_3989","Branched-chain amino acid transport protein (AzlD)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.687663691925124,-0.407879150604419,-0.347437081503257
"SL1344_3990","SL1344_3990","AzlC protein","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.63561220053984,-0.489351579071398,-0.416836418850125
"SL1344_3991","SL1344_3991","Cro/C1-type HTH DNA-binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.605767207692098,-0.516000855643245
