,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_4719,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,13,377,,14,388,,15,403
STM14_4720,rffG,"dTDP-glucose 4,6-dehydratase",17,1916,,18,1815,,20,1736
STM14_4721,rffH,glucose-1-phosphate thymidyl transferase,1,53,,2,124,,2,66
STM14_4722,wecD,TDP-fucosamine acetyltransferase,9,624,,8,655,,10,701
STM14_4723,wecE,TDP-4-oxo-6-deoxy-D-glucose transaminase,18,1548,,21,1513,,20,1569
STM14_4724,wzxE,O-antigen translocase,23,2500,,22,2379,,23,2092
STM14_4725,-,4-alpha-L-fucosyltransferase,18,1335,,17,1304,,17,1312
STM14_4726,wecF,putative entero common antigen polymerase,3,169,,2,105,,2,149
STM14_4727,wecG,putative UDP-N-acetyl-D-mannosaminuronic acid transferase,13,2111,,13,2080,,13,2073
STM14_4728,yifK,putative transport protein YifK,19,1722,,20,1732,,20,1736
STM14_4733,-,hypothetical protein,5,375,,5,478,,5,377
STM14_4734,hemY,putative protoheme IX biogenesis protein,14,1388,,14,1287,,14,1440
STM14_4735,hemX,putative uroporphyrinogen III C-methyltransferase,16,1021,,17,794,,17,847
STM14_4736,hemD,uroporphyrinogen-III synthase,4,139,,2,147,,4,147
STM14_4737,hemC,porphobilinogen deaminase,1,2,,1,8,,1,3
STM14_4738,-,hypothetical protein,2,25,,2,24,,2,19
STM14_4739,cyaA,adenylate cyclase,34,742,,34,869,,38,705
STM14_4740,-,hypothetical protein,2,156,,2,148,,2,155
STM14_4741,-,putative inner membrane protein,11,867,,10,904,,10,992
STM14_4742,-,putative inner membrane protein,9,476,,10,521,,11,510
STM14_4743,-,putative cytoplasmic protein,8,605,,8,678,,8,669
STM14_4744,cyaY,frataxin-like protein,2,300,,2,254,,2,330
STM14_4745,-,putative inner membrane protein,7,673,,7,588,,7,779
STM14_4747,yifL,putative outer membrane lipoprotein,2,94,,2,140,,2,66
STM14_4748,dapF,diaminopimelate epimerase,6,45,,4,49,,5,33
STM14_4749,yigA,hypothetical protein,8,425,,7,433,,7,454
STM14_4750,xerC,site-specific tyrosine recombinase XerC,12,244,,13,271,,14,252
STM14_4751,yigB,flavin mononucleotide phosphatase,10,490,,9,488,,10,483
STM14_4752,uvrD,DNA-dependent helicase II,26,2207,,26,2212,,27,2250
STM14_4753,-,hypothetical protein,4,188,,5,230,,5,206
STM14_4754,corA,magnesium/nickel/cobalt transporter CorA,10,706,,10,678,,10,686
STM14_4755,yigF,putative inner membrane protein,5,172,,4,135,,5,167
STM14_4756,yigG,hypothetical protein,6,565,,7,587,,7,627
STM14_4757,rarD,chloramphenicol resistance,17,1008,,17,1131,,19,1110
STM14_4758,yigI,hypothetical protein,14,1292,,14,1390,,14,1362
STM14_4759,-,hypothetical protein,6,552,,6,672,,6,620
STM14_4760,pldA,phospholipase A,28,2573,,26,2501,,29,2425
STM14_4761,recQ,ATP-dependent DNA helicase RecQ,29,2013,,28,2114,,30,2058
STM14_4762,rhtC,threonine efflux system,8,527,,6,504,,8,497
STM14_4763,rhtB,homoserine/homoserine lactone efflux protein,12,1304,,10,1288,,12,1244
STM14_4764,pldB,lysophospholipase L2,20,955,,19,1118,,20,925
STM14_4765,yigL,putative sugar phosphatase,7,508,,9,623,,10,623
STM14_4766,yigM,putative transport protein,28,2206,,26,2342,,29,2114
STM14_4767,metR,metE/metH regulator,6,407,,7,424,,7,364
STM14_4768,-,hypothetical protein,6,964,,6,1010,,6,960
STM14_4769,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase,30,2962,,28,3007,,30,2774
STM14_4770,-,hypothetical protein,2,314,,2,263,,2,247
STM14_4771,-,hypothetical protein,2,188,,2,172,,2,158
STM14_4772,-,putative arylsulfatase regulator,28,2437,,28,2725,,31,2410
STM14_4773,dlhH,putative dienelactone hydrolase,11,507,,12,585,,12,574
STM14_4774,udp,uridine phosphorylase,7,377,,7,366,,7,415
STM14_4775,yigN,DNA recombination protein RmuC,32,1961,,32,2132,,33,2026
STM14_4776,ubiE,ubiquinone/menaquinone biosynthesis methyltransferase,2,4,,2,5,,1,2
STM14_4777,yigP,putative inner membrane protein,2,23,,1,23,,1,21
STM14_4778,ubiB,putative ubiquinone biosynthesis protein UbiB,3,5,,1,4,,1,3
STM14_4779,tatA,twin argininte translocase protein A,6,535,,5,554,,6,558
STM14_4780,tatB,sec-independent translocase,6,866,,6,873,,6,834
STM14_4781,tatC,TatABCE protein translocation system subunit,19,965,,19,1188,,21,1240
STM14_4782,yigW,DNase TatD,10,985,,10,995,,10,1030
STM14_4783,rfaH,transcriptional activator RfaH,17,1243,,16,1179,,16,1415
STM14_4784,-,hypothetical protein,7,336,,7,357,,7,342
STM14_4785,yigC,3-octaprenyl-4-hydroxybenzoate decarboxylase,5,330,,4,325,,13,391
STM14_4786,fre,FMN reductase,13,866,,16,964,,17,1025
STM14_4787,assT,arylsulfotransferase,31,1914,,32,1994,,29,2064
STM14_4788,fadA,3-ketoacyl-CoA thiolase,13,916,,12,1005,,14,903
STM14_4789,fadB,multifunctional fatty acid oxidation complex subunit alpha,22,1706,,22,1946,,22,1723
STM14_4790,pepQ,proline dipeptidase,15,844,,14,861,,16,859
STM14_4791,yigZ,hypothetical protein,12,1737,,13,1742,,13,1696
STM14_4792,trkH,potassium transporter,28,1290,,29,1292,,30,1339
STM14_4793,hemG,protoporphyrinogen oxidase,1,2,,1,2,,2,8
STM14_4797,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4800,-,hypothetical protein,1,39,,1,62,,1,50
STM14_4801,-,conserved hypothetical protein,2,47,,2,51,,2,59
STM14_4802,mobB,molybdopterin-guanine dinucleotide biosynthesis protein B,6,658,,7,700,,6,690
STM14_4803,mobA,molybdopterin-guanine dinucleotide biosynthesis protein A,9,548,,9,579,,9,506
STM14_4804,yihD,putative cytoplasmic protein,2,135,,2,104,,2,117
STM14_4805,yihE,serine/threonine protein kinase,14,1014,,15,1118,,14,1017
STM14_4806,dsbA,periplasmic protein disulfide isomerase I,14,726,,13,743,,14,615
STM14_4807,yihG,putative endonuclease,24,1551,,23,1549,,24,1547
STM14_4808,-,hypothetical protein,1,49,,1,21,,1,35
STM14_4809,polA,DNA polymerase I,23,1066,,26,1121,,26,1033
STM14_4811,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4812,yihA,GTPase EngB,2,89,,2,86,,3,111
STM14_4813,-,putative cytoplasmic protein,3,283,,3,214,,4,251
STM14_4814,yihI,hypothetical protein,5,190,,5,231,,5,250
STM14_4815,hemN,coproporphyrinogen III oxidase,22,1657,,22,1643,,23,1520
STM14_4816,-,hypothetical protein,1,56,,2,24,,1,38
STM14_4817,glnG,nitrogen regulation protein NR(I),13,529,,11,483,,12,507
STM14_4818,glnL,nitrogen regulation protein NR(II),16,1088,,18,1107,,17,1065
STM14_4819,-,hypothetical protein,1,7,,1,2,,1,2
STM14_4820,glnA,glutamine synthetase,14,389,,13,410,,15,411
STM14_4821,-,putative cytoplasmic protein,9,395,,9,456,,9,438
STM14_4822,typA,GTP-binding protein,21,1260,,23,1345,,23,1370
STM14_4823,-,putative hydrolase,22,1627,,22,1752,,22,1652
STM14_4824,-,putative inner membrane protein,19,1272,,17,1297,,20,1196
STM14_4825,-,coproporphyrinogen III oxidase,24,1692,,24,1767,,23,1894
STM14_4826,-,putative membrane-associated metal-dependent hydrolase,17,793,,20,767,,19,748
STM14_4827,-,putative periplasmic protein,19,1065,,18,1190,,18,977
STM14_4828,-,putative cytoplasmic protein,16,1269,,17,1317,,16,1328
STM14_4829,yshA,outer membrane porin L,12,468,,13,521,,14,420
STM14_4830,yihO,GPH family transport protein,33,1520,,31,1659,,33,1590
STM14_4831,yihP,GPH family transport protein,37,2504,,35,2553,,36,2422
STM14_4832,yihQ,alpha-glucosidase,36,2332,,40,2306,,36,2182
STM14_4833,yihR,putative aldose-1-epimerase,15,892,,15,1027,,15,819
STM14_4834,yihS,putative isomerase,16,2669,,16,2462,,17,2516
STM14_4835,yihT,putative aldolase,7,687,,7,664,,7,639
STM14_4836,yihU,putative oxidoreductase,5,426,,5,435,,5,377
STM14_4837,-,hypothetical protein,3,129,,3,161,,3,155
STM14_4838,yihV,putative sugar kinase,15,1041,,15,1175,,17,1034
STM14_4839,yihW,putative glycerol-3-phosphate regulon repressor,20,1030,,19,1075,,20,1089
STM14_4840,yihX,phosphatase,15,1633,,15,1860,,15,1680
STM14_4841,rbn,ribonuclease BN,22,1975,,21,1821,,21,1792
STM14_4842,yihZ,D-tyrosyl-tRNA deacylase,9,1112,,9,1070,,9,1019
STM14_4843,yiiD,putative acetyltransferase,18,1372,,15,1216,,20,1303
STM14_4844,-,putative cytoplasmic protein,8,468,,9,414,,9,416
STM14_4845,-,putative cytoplasmic protein,11,1990,,12,2011,,12,2124
STM14_4846,-,putative acetyl esterase,20,2916,,20,3043,,20,2782
STM14_4847,-,hypothetical protein,7,633,,7,608,,7,673
STM14_4848,-,putative regulatory protein,8,516,,8,583,,8,578
STM14_4849,fdhE,formate dehydrogenase accessory protein FdhE,9,932,,8,990,,8,1008
STM14_4850,fdoI,formate dehydrogenase-O subunit gamma,10,1036,,10,1004,,10,1047
STM14_4851,fdoH,formate dehydrogenase-O beta subunit,10,1237,,11,1189,,12,1196
STM14_4852,fdoG,formate dehydrogenase alpha subunit,37,2191,,39,2236,,38,2120
STM14_4853,fdhD,formate dehydrogenase accessory protein,10,689,,10,606,,11,576
STM14_4854,-,hypothetical protein,8,394,,8,398,,8,368
STM14_4855,-,putative inner membrane lipoprotein,33,2864,,29,2802,,33,2753
STM14_4856,-,hypothetical protein,2,127,,2,80,,2,107
STM14_4857,yiiG,putative cytoplasmic protein,13,945,,14,924,,13,786
STM14_4858,-,hypothetical protein,3,187,,3,222,,3,223
STM14_4859,-,putative inner membrane protein,7,324,,7,281,,7,321
STM14_4860,-,putative branched-chain amino acid permease,8,135,,7,169,,8,146
STM14_4861,-,hypothetical protein,5,475,,6,498,,6,541
STM14_4862,yiiL,putative cytoplasmic protein,7,602,,7,544,,7,493
STM14_4863,-,putative alcohol dehydrogenase,11,897,,11,806,,11,838
STM14_4864,rhaD,rhamnulose-1-phosphate aldolase,11,1175,,10,1110,,10,1152
STM14_4865,rhaA,L-rhamnose isomerase,10,968,,10,982,,11,1110
STM14_4866,rhaB,rhamnulokinase,19,1619,,18,1639,,18,1738
STM14_4867,-,hypothetical protein,3,236,,3,186,,4,230
STM14_4868,-,hypothetical protein,1,78,,1,88,,1,75
STM14_4869,rhaS,transcriptional activator RhaS,17,1699,,16,1455,,17,1602
STM14_4870,rhaR,transcriptional activator RhaR,18,1448,,18,1236,,19,1344
STM14_4871,rhaT,rhamnose-proton symporter,15,1431,,15,1441,,15,1417
STM14_4872,-,hypothetical protein,3,206,,3,212,,3,184
STM14_4873,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4874,-,putative outer membrane protein,12,847,,15,876,,14,825
STM14_4875,-,putative C4-dicarboxylate transport system,19,980,,21,1119,,20,1049
STM14_4876,-,putative C4-dicarboxylate transport system,8,550,,9,609,,9,575
STM14_4877,-,putative periplasmic dicarboxylate-binding protein,21,2049,,21,2017,,21,2016
STM14_4878,sodA,superoxide dismutase,9,430,,9,412,,9,391
STM14_4879,yiiM,hypothetical protein,6,541,,6,552,,6,487
STM14_4880,-,putative inner membrane protein,6,698,,6,787,,6,701
STM14_4881,cpxA,two-component sensor protein,18,1471,,20,1499,,19,1357
STM14_4882,cpxR,DNA-binding transcriptional regulator CpxR,10,545,,10,650,,12,693
STM14_4883,cpxP,periplasmic repressor CpxP,6,236,,6,268,,6,260
STM14_4884,fieF,ferrous iron efflux protein F,18,1387,,18,1338,,19,1431
STM14_4885,pfkA,6-phosphofructokinase,16,1579,,13,1449,,16,1559
STM14_4886,-,hypothetical protein,1,34,,1,37,,1,42
STM14_4887,sbp,sulfate transporter subunit,14,659,,16,676,,15,664
STM14_4888,ushB,CDP-diacylglycerol pyrophosphatase,19,1937,,17,1600,,19,1967
STM14_4889,-,putative Na+/galactoside symporter,24,2240,,25,2619,,25,2435
STM14_4890,-,aminoimidazole riboside kinase,9,416,,10,426,,10,425
STM14_4891,-,putative ADP-ribosylglycohydrolase,19,1230,,21,1290,,21,1212
STM14_4892,-,putative regulatory protein,13,678,,15,654,,15,758
STM14_4893,-,putative periplasmic protein,2,79,,2,89,,2,112
STM14_4894,-,putative cytoplasmic protein,1,68,,1,62,,1,69
STM14_4895,-,putative mannose-6-phosphate isomerase,9,673,,9,568,,9,557
STM14_4896,ydeV,autoinducer-2 (AI-2) kinase,26,1825,,26,1981,,28,1828
STM14_4897,ydeW,putative transcriptional repressor,20,1166,,19,1350,,19,1314
STM14_4898,-,hypothetical protein,2,206,,2,245,,2,199
STM14_4899,ego,putative ABC-type aldose transport system ATPase component,28,1894,,27,2178,,29,2041
STM14_4900,ydeY,putative sugar transport protein,20,1750,,21,1948,,21,1822
STM14_4901,ydeZ,putative sugar transport protein,23,1969,,24,2063,,25,2032
STM14_4902,yneA,putative sugar transport protein,23,1624,,22,1613,,22,1594
STM14_4903,yneB,aldolase,18,1087,,18,1008,,20,999
STM14_4904,yneC,autoinducer-2 (AI-2) modifying protein LsrG,5,198,,5,149,,5,208
STM14_4905,-,ribulose-phosphate 3-epimerase,16,1035,,17,981,,16,1047
STM14_4906,tpiA,triosephosphate isomerase,12,266,,10,248,,13,283
STM14_4907,yiiQ,putative periplasmic protein,11,946,,12,917,,13,976
STM14_4908,yiiR,putative inner membrane protein,2,109,,2,174,,2,128
STM14_4909,-,hypothetical protein,5,209,,4,179,,5,196
STM14_4910,fpr,ferredoxin-NADP reductase,12,697,,12,751,,12,774
STM14_4911,glpX,"fructose 1,6-bisphosphatase II",15,1613,,17,1813,,16,1984
STM14_4912,glpK,glycerol kinase,27,1596,,25,1690,,26,1492
STM14_4913,glpF,glycerol diffusion,8,330,,8,370,,8,315
STM14_4914,-,hypothetical protein,4,367,,5,361,,5,385
STM14_4915,yiiU,putative cytoplasmic protein,1,84,,3,76,,3,90
STM14_4916,-,hypothetical protein,3,107,,3,133,,3,154
STM14_4917,menG,ribonuclease activity regulator protein RraA,5,390,,5,314,,5,327
STM14_4918,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",17,1166,,17,1222,,18,1218
STM14_4919,hslU,ATP-dependent protease ATP-binding subunit,18,1000,,18,1157,,21,1095
STM14_4920,hslV,ATP-dependent protease peptidase subunit,9,817,,8,750,,8,819
STM14_4921,ftsN,essential cell division protein,5,290,,5,351,,6,227
STM14_4922,cytR,DNA-binding transcriptional regulator CytR,18,1354,,17,1424,,17,1423
STM14_4923,priA,primosome assembly protein PriA,7,59,,7,78,,6,64
STM14_4924,rpmE,50S ribosomal protein L31,4,102,,5,108,,4,90
STM14_4925,-,putative outer membrane lipoprotein,21,1641,,22,1536,,22,1675
STM14_4926,-,putative arylsulfate sulfotransferase,36,1732,,38,1842,,36,1762
STM14_4927,metJ,transcriptional repressor protein MetJ,4,167,,3,172,,3,139
STM14_4928,metB,cystathionine gamma-synthase,19,1659,,18,1517,,19,1461
STM14_4929,metL,bifunctional aspartate kinase II/homoserine dehydrogenase II,34,1999,,31,2250,,33,1537
STM14_4930,-,putative inner membrane protein,16,1206,,17,1041,,16,1076
STM14_4931,-,putative membrane protein,17,1061,,15,1040,,17,980
STM14_4932,-,putative cytoplasmic protein,12,605,,13,657,,14,626
STM14_4933,-,"putative 5'-nucleotidase/2',3'-cyclic phosphodiesterase",30,2536,,30,2801,,32,2691
STM14_4934,-,hypothetical protein,4,429,,4,390,,4,513
STM14_4935,metF,"5,10-methylenetetrahydrofolate reductase",15,1373,,14,1281,,14,1145
STM14_4936,katG,hydroperoxidase,28,2381,,29,2563,,28,2471
STM14_4937,yijF,putative periplasmic protein,15,2218,,16,2140,,18,2265
STM14_4938,-,hypothetical protein,3,176,,3,181,,3,217
STM14_4939,gldA_2,glycerol dehydrogenase,24,1603,,23,1586,,24,1464
STM14_4940,talC,fructose-6-phosphate aldolase,14,548,,14,677,,13,602
STM14_4941,ptsA,PEP-protein phosphotransferase,37,2931,,37,2780,,38,2804
STM14_4943,-,hypothetical protein,3,183,,3,196,,3,238
STM14_4944,frwC,putative fructose-like permease EIIC subunit 2,19,2149,,21,2235,,20,2227
STM14_4945,frwB,putative fructose-like phosphotransferase EIIB subunit 2,6,1201,,7,1096,,7,1073
STM14_4946,pflD,putative formate acetyltransferase 2,34,1959,,33,1945,,35,1717
STM14_4947,pflC,pyruvate formate lyase II activase,15,1088,,14,1154,,14,966
STM14_4948,frwD,putative fructose-like phosphotransferase EIIB subunit 3,6,1393,,6,1365,,6,1430
STM14_4949,yijO,putative regulatory protein,15,1443,,15,1338,,16,1233
STM14_4950,-,hypothetical protein,1,104,,1,130,,1,130
STM14_4951,-,hypothetical protein,1,465,,1,425,,1,447
STM14_4952,yijP,hypothetical protein,50,4539,,49,4276,,52,4241
STM14_4953,-,hypothetical protein,4,190,,4,195,,4,229
STM14_4954,ppc,phosphoenolpyruvate carboxylase,37,2101,,36,2044,,39,2121
STM14_4955,argE,acetylornithine deacetylase,23,1547,,23,1608,,23,1529
STM14_4956,argC,N-acetyl-gamma-glutamyl-phosphate reductase,22,2202,,22,2205,,22,2054
STM14_4957,argB,acetylglutamate kinase,10,880,,10,771,,10,926
STM14_4958,argH,argininosuccinate lyase,24,1207,,24,1326,,24,1311
STM14_4959,oxyR,DNA-binding transcriptional regulator OxyR,13,1727,,13,1457,,13,1510
STM14_4960,udhA,soluble pyridine nucleotide transhydrogenase,23,703,,22,728,,23,595
STM14_4961,-,hypothetical protein,5,417,,5,442,,5,427
STM14_4962,yijC,DNA-binding transcriptional repressor FabR,9,722,,9,700,,9,581
STM14_4963,yijD,hypothetical protein,12,1236,,11,1202,,12,1194
STM14_4964,trmA,tRNA (uracil-5-)-methyltransferase,29,1729,,29,1651,,29,1776
STM14_4965,btuB,vitamin B12/cobalamin outer membrane transporter,57,4635,,60,4635,,63,4429
STM14_4966,murI,glutamate racemase,4,166,,3,149,,4,186
STM14_4970,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4973,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,0,0,,0,0,,0,0
STM14_4974,birA,biotin--protein ligase,1,26,,2,56,,3,65
STM14_4975,coaA,pantothenate kinase,3,107,,3,121,,3,104
STM14_4977,-,putative cytoplasmic protein,2,106,,3,150,,2,169
STM14_4982,tuf_2,elongation factor Tu,3,16,,3,22,,4,26
STM14_4983,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4984,secE,preprotein translocase subunit SecE,0,0,,0,0,,0,0
STM14_4985,nusG,transcription antitermination protein NusG,1,6,,1,16,,2,9
STM14_4986,rplK,50S ribosomal protein L11,0,0,,0,0,,0,0
STM14_4987,rplA,50S ribosomal protein L1,2,90,,2,63,,4,80
STM14_4988,rplJ,50S ribosomal protein L10,0,0,,0,0,,1,4
STM14_4989,rplL,50S ribosomal protein L7/L12,0,0,,0,0,,0,0
STM14_4990,rpoB,DNA-directed RNA polymerase subunit beta,5,2553,,3,2873,,5,2788
STM14_4991,rpoC,DNA-directed RNA polymerase subunit beta',2,35,,4,44,,4,48
STM14_4992,-,putative inner membrane protein,2,147,,2,108,,2,117
STM14_4993,-,putative cytoplasmic protein,3,70,,3,51,,3,59
STM14_4994,-,hypothetical protein,0,0,,0,0,,0,0
STM14_4995,-,hypothetical protein,1,19,,1,22,,1,16
STM14_4996,-,putative cytoplasmic protein,6,232,,6,246,,6,251
STM14_4997,-,hypothetical protein,1,23,,1,4,,1,49
STM14_4999,-,putative cytoplasmic protein,2,174,,2,166,,2,132
STM14_5000,thiH,thiamine biosynthesis protein ThiH,17,1539,,16,1584,,18,1487
STM14_5001,thiG,thiazole synthase,7,1268,,7,1100,,7,1068
STM14_5002,-,sulfur carrier protein ThiS,1,29,,1,14,,1,19
STM14_5003,thiF,thiamine biosynthesis protein ThiF,11,746,,11,775,,13,694
STM14_5004,thiE,thiamine-phosphate pyrophosphorylase,9,517,,8,585,,10,462
STM14_5005,thiC,thiamine biosynthesis protein ThiC,27,1977,,25,1995,,27,1903
STM14_5006,rsd,anti-RNA polymerase sigma 70 factor,9,870,,9,791,,8,850
STM14_5007,nudC,NADH pyrophosphatase,9,284,,10,226,,11,308
STM14_5008,hemE,uroporphyrinogen decarboxylase,4,176,,2,186,,4,136
STM14_5009,nfi,endonuclease V,8,606,,7,507,,8,503
STM14_5010,yjaG,putative cytoplasmic protein,6,234,,6,273,,6,255
STM14_5011,hupA,transcriptional regulator HU subunit alpha,7,1268,,6,1317,,7,1226
STM14_5012,yjaH,putative inner membrane protein,11,569,,10,517,,11,460
STM14_5013,zraP,zinc resistance protein,11,1003,,12,950,,12,929
STM14_5014,hydH,sensor protein ZraS,28,1389,,26,1327,,28,1403
STM14_5015,hydG,transcriptional regulatory protein ZraR,20,998,,18,1040,,18,913
STM14_5016,purD,phosphoribosylamine--glycine ligase,9,879,,10,881,,10,859
STM14_5017,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,19,1157,,19,1124,,20,1087
STM14_5018,-,hypothetical protein,2,158,,2,168,,2,227
STM14_5019,-,hypothetical protein,1,108,,1,91,,1,143
STM14_5020,-,hypothetical protein,2,54,,2,44,,2,83
STM14_5025,-,hypothetical protein,0,0,,0,0,,0,0
STM14_5026,-,conserved hypothetical protein,2,113,,1,75,,1,88
STM14_5027,yjaB,hypothetical protein,4,161,,5,121,,5,149
STM14_5028,metA,homoserine O-succinyltransferase,11,1984,,11,1999,,11,1779
STM14_5029,aceB,malate synthase,19,998,,20,964,,20,973
STM14_5030,aceA,isocitrate lyase,17,987,,17,912,,16,958
STM14_5031,-,conserved hypothetical protein,1,31,,1,13,,1,24
STM14_5032,aceK,bifunctional isocitrate dehydrogenase kinase/phosphatase protein,36,2997,,38,2819,,38,2909
STM14_5033,-,putative cytoplasmic protein,8,461,,7,364,,8,427
STM14_5034,iclR,transcriptional repressor IclR,9,639,,11,623,,10,540
STM14_5035,metH,B12-dependent methionine synthase,47,3941,,45,3664,,48,3841
STM14_5036,yjbB,putative transport protein,23,1711,,22,1671,,25,1723
STM14_5037,pepE,peptidase E,10,564,,10,541,,10,533
STM14_5038,-,putative cytoplasmic protein,2,218,,2,202,,2,249
STM14_5039,-,putative cytoplasmic protein,8,718,,8,864,,7,679
STM14_5040,yjbC,23S rRNA pseudouridine synthase F,19,1118,,19,1189,,19,1035
STM14_5041,yjbD,hypothetical protein,1,2,,0,0,,1,4
STM14_5042,-,putative Na+-dependent transporter,2,127,,2,182,,2,161
STM14_5044,-,hypothetical protein,4,292,,3,416,,3,317
STM14_5045,-,putative cytoplasmic protein,12,922,,12,1084,,12,1049
STM14_5046,-,putative inner membrane protein,3,158,,4,202,,4,169
STM14_5047,-,putative cytoplasmic protein,10,649,,8,623,,10,552
STM14_5048,-,putative cytoplasmic protein,18,1803,,19,1884,,18,1813
STM14_5049,-,putative phage tail fiber protein H,33,2288,,32,2212,,32,2288
STM14_5050,-,putative phage tail protein,8,512,,8,548,,9,503
STM14_5051,-,putative phage baseplate protein,16,1461,,16,1513,,16,1293
STM14_5052,-,putative phage baseplate protein,3,295,,3,248,,4,251
STM14_5053,-,hypothetical protein,0,0,,0,0,,0,0
STM14_5054,-,putative inner membrane protein,42,2677,,41,2872,,44,2797
STM14_5055,-,putative phage glycosyltransferase,14,1239,,14,1207,,14,1224
STM14_5056,-,putative phage glucose translocase,5,176,,5,154,,5,167
STM14_5057,-,hypothetical protein,4,328,,4,266,,4,362
STM14_5058,-,putative phage baseplate component,11,755,,12,671,,12,680
STM14_5059,-,putative cytoplasmic protein,16,833,,15,830,,16,891
STM14_5060,-,putative inner membrane protein,4,294,,4,232,,4,248
STM14_5061,-,putative methyl-accepting chemotaxis protein,11,961,,10,980,,12,949
STM14_5062,-,putative phage tail protein,18,1333,,18,1141,,19,1252
STM14_5063,-,conserved hypothetical protein,1,20,,1,53,,1,32
STM14_5065,-,putative phage tail core protein,10,476,,10,675,,10,648
STM14_5066,-,putative phage tail sheath protein,22,1450,,22,1372,,22,1565
STM14_5067,-,putative cytoplasmic protein,3,416,,3,421,,3,431
STM14_5068,-,putative cytoplasmic protein,5,421,,5,447,,5,318
STM14_5069,-,putative inner membrane protein,4,244,,5,333,,5,294
STM14_5070,-,putative soluble lytic murein transglycosylase,15,961,,13,942,,13,847
STM14_5071,-,putative inner membrane protein,2,27,,2,27,,2,26
STM14_5072,-,hypothetical protein,0,0,,0,0,,0,0
STM14_5073,-,putative cytoplasmic protein,5,199,,6,218,,6,243
STM14_5074,lysC,aspartate kinase III,14,641,,14,916,,14,724
STM14_5075,pgi,glucose-6-phosphate isomerase,27,2236,,26,2262,,26,2114
STM14_5076,yjbE,putative outer membrane protein,1,27,,1,21,,2,33
STM14_5077,yjbF,putative outer membrane lipoprotein,8,929,,8,850,,8,822
STM14_5078,yjbG,putative periplasmic protein,11,467,,9,527,,10,457
STM14_5079,yjbH,putative outer membrane lipoprotein,47,4310,,44,4303,,47,4493
STM14_5080,yjbA,phosphate-starvation-inducible protein PsiE,12,1009,,14,1079,,14,915
STM14_5081,malG,maltose transporter permease,12,1137,,10,1177,,13,1088
STM14_5082,malF,maltose transporter membrane protein,30,2624,,29,2513,,30,2651
STM14_5083,-,hypothetical protein,1,58,,1,54,,1,37
STM14_5084,-,hypothetical protein,1,57,,1,59,,1,67
STM14_5085,malE,maltose ABC transporter periplasmic protein,30,2687,,30,2694,,30,2753
STM14_5086,malK,maltose/maltodextrin transporter ATP-binding protein,13,771,,12,739,,13,816
STM14_5087,lamB,maltoporin,29,2458,,30,2878,,31,2549
STM14_5088,-,hypothetical protein,2,507,,2,606,,2,506
STM14_5089,malM,maltose regulon periplasmic protein,22,1539,,22,1459,,22,1634
STM14_5090,ubiC,chorismate pyruvate lyase,4,192,,7,208,,7,187
STM14_5091,ubiA,4-hydroxybenzoate octaprenyltransferase,1,2,,1,2,,0,0
STM14_5092,plsB,glycerol-3-phosphate acyltransferase,2,44,,2,57,,2,56
STM14_5093,dgkA,diacylglycerol kinase,5,485,,6,473,,7,510
STM14_5094,lexA,LexA repressor,2,331,,2,299,,2,180
STM14_5095,dinF,DNA-damage-inducible SOS response protein,26,1415,,24,1276,,25,1347
STM14_5096,-,putative cytoplasmic protein,4,87,,3,82,,4,82
STM14_5097,yjbJ,putative stress-response protein,4,268,,4,275,,4,273
STM14_5098,zur,zinc uptake transcriptional repressor,8,492,,7,522,,7,546
STM14_5099,-,conjugative transfer protein,20,1696,,22,1885,,23,1879
STM14_5100,yjbN,tRNA-dihydrouridine synthase A,16,1196,,17,1282,,17,1312
STM14_5101,-,hypothetical protein,1,38,,2,50,,2,64
STM14_5102,pspG,phage shock protein G,4,402,,4,371,,4,371
STM14_5103,qor,"quinone oxidoreductase, NADPH-dependent",16,628,,15,684,,16,719
STM14_5104,dnaB,replicative DNA helicase,3,234,,3,204,,3,191
STM14_5105,alr,alanine racemase,10,432,,9,517,,10,414
STM14_5106,tyrB,aromatic amino acid aminotransferase,28,1058,,25,1151,,28,1276
STM14_5107,aphA,acid phosphatase/phosphotransferase,12,1095,,12,1102,,12,1125
STM14_5108,yjbQ,putative cytoplasmic protein,12,1773,,12,1686,,13,1626
STM14_5109,yjbR,putative cytoplasmic protein,9,577,,9,623,,9,640
STM14_5110,-,putative inner membrane protein,5,460,,5,450,,5,488
STM14_5111,-,putative outer membrane lipoprotein,6,509,,6,460,,6,378
STM14_5112,uvrA,excinuclease ABC subunit A,44,3730,,42,3976,,44,3511
STM14_5113,-,putative cytoplasmic protein,2,178,,2,172,,2,151
